950.0931853591	7
598.0821786793	4
30.260154771	10
421.8654662896	4
385.3598229016	8
305.327882362	5
650.9952090469	2
63.7729741634	1
302.0974884022	12
907.8886805867	2
883.9503774852	1
623.1913503796	12
793.346991923	8
603.4551146887	9
930.0823702335	7
87.5556505762	9
341.1051312304	10
480.51933239	2
284.0243934111	3
475.1110238318	12
871.6620690328	7
847.6330231965	12
166.5837839298	3
337.6694481307	4
973.3522522545	11
194.5652603425	3
349.2805512088	3
616.4246063508	11
83.2971057853	7
429.4658173333	8
360.8835850071	10
144.6728847159	12
48.0236384667	5
344.9995400057	3
378.4922886889	2
109.1054336403	6
723.8228106363	7
208.6574533924	9
60.5178655882	8
871.7251008201	1
575.5700118723	9
996.0410833531	1
955.7073076422	3
316.3649778356	8
208.4479810925	1
248.826405174	10
639.1956841191	1
270.9172528484	2
737.2121062519	2
626.3203077665	1
634.4342642844	6
536.0894561381	2
86.6436353446	12
393.4766861893	7
392.6166290413	7
899.4832218417	10
688.0599471367	6
951.1778071013	8
178.5468643547	11
604.0317187415	8
137.4989497902	11
602.9830556969	12
978.2619051679	12
754.1887430888	2
511.7258132297	3
992.3909531003	3
822.6144821723	3
110.2114250186	6
217.3936909106	11
789.0243151062	7
964.4546173073	12
160.0894014877	4
64.4416207505	6
938.8992804082	12
371.7342885123	11
916.9924203966	8
857.1933585352	5
60.3139217856	6
798.3287091358	3
301.4673585211	4
11.3188005589	7
666.9697735833	11
484.2219664122	7
945.3820069555	12
764.278243752	12
996.5927516222	11
142.5667600415	11
980.8483256091	6
585.3272143244	5
113.9071582107	12
933.7528360598	12
756.365106941	10
532.517992324	7
104.1575235299	12
333.6225811992	9
69.9123751332	2
511.6602566458	2
462.4996009164	3
528.0615330633	2
243.1138081302	8
791.8480478721	8
748.2408838414	11
163.8259564224	3
723.9914391104	8
387.5479672199	12
290.6183992644	2
201.3801044588	10
649.1474390733	3
214.6510715788	8
835.880215396	10
705.0783540073	4
711.0993649068	12
351.2255578277	7
26.0343872715	5
387.5361360913	3
298.4758029168	1
697.1832067846	12
630.3816474975	10
256.5921617951	7
155.3666295953	10
770.6795526097	4
848.0834232558	12
888.8599167295	12
289.0055602026	6
276.8834141323	5
554.75334884	2
339.279641165	6
720.3467579523	9
726.7137886503	4
331.5275164403	3
421.1871898768	7
444.0416412558	6
227.8188158793	3
592.207315282	10
651.6854631104	9
453.0371856225	9
971.1748317196	9
905.0437241222	10
120.4023889323	6
417.2143183921	9
264.8073665588	7
271.569121018	1
39.5998089691	11
476.8011495968	11
595.6636681137	11
920.8001519947	9
911.5854179914	1
918.1014389418	4
618.3276534289	5
165.3918433833	10
628.5592372807	2
710.2123325138	2
829.1548025863	4
332.0127470023	11
33.6094414499	10
857.8740257232	1
368.7801689527	12
462.0173247532	3
85.6178454208	8
156.4164314695	3
992.2351543021	10
330.1255962996	10
902.0681932272	1
726.0515460628	2
185.3135901157	12
294.1546308523	2
546.068376581	10
507.2668927618	12
471.3293912504	7
792.3618454079	8
592.7224317388	12
537.8441308868	7
325.7970330911	10
749.0197163994	3
451.3306184252	10
838.6182705518	9
857.4748043387	2
663.3394227724	4
253.8440003256	2
928.7565135919	8
86.242904153	12
695.0475571726	4
625.7387760017	2
507.5184836428	6
735.1526018558	3
38.4329076198	2
702.4786725109	6
518.2433745367	4
485.3928169912	6
426.39470483	3
778.7051733526	8
913.4318310945	11
519.3785172343	3
408.3459865328	4
631.8327555764	1
341.4641834431	10
84.9395567583	6
960.5403796248	1
441.5478446897	10
